Summary,Issue Type,Priority,Labels,Labels,Labels,Labels,Labels,Labels,Description,ID Historia,Épica (área),Prioridad calculada,Severidad calculada,Tareas técnicas,Octubre
[H-CLI-23] Que cada miembro sólo pueda hacer en Clientes lo que su permiso permite,Story,Highest,historia,clientes,p0,sev-alta,,,"*Historia:* Como founder, quiero que un miembro con Clientes en «Solo lectura» o «Sin acceso» no pueda borrar ni modificar clientes por ningún camino, para que el permiso por módulo proteja los datos y no sea sólo esconder botones.

*Criterios de aceptación:*
* Dado un miembro con Clientes en «Solo lectura» o «Sin acceso», cuando intenta por fuera de la pantalla borrar o editar un cliente, registrar un hito, borrar un win, guardar facturación o subir una 1-1, entonces recibe un error de permiso y no cambia nada.
* Con Clientes en «full», esas mismas acciones siguen funcionando.
* Se probó con una cuenta de equipo: con «full» ve los botones (Nuevo cliente, Cargar clientes, Revisión semanal, Wins, Configurar) y puede guardar un cliente de prueba; con «Solo lectura» no aparecen.

*Tareas técnicas (PENDIENTES.md):*
* [PERMISOS-SERVER-ACTIONS/clientes] Los permisos del módulo Clientes no se hacen cumplir en el servidor (P1)
* [PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas (P0)
* [ALTA-CLIENTES-PROBAR] Confirmar el alta con una cuenta de equipo (P2)

Funcionalidad: F-CLI-23 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-CLI-23]",H-CLI-23,Clientes,P0,Alta,PERMISOS-SERVER-ACTIONS/clientes PERMISOS-SERVER-ACTIONS ALTA-CLIENTES-PROBAR,
[H-DIS-11] Que la IA me marque cada día qué mensajes necesitan atención,Story,Highest,historia,discord,p0,sev-alta,para-confirmar,,"*Historia:* Como founder, quiero que cada día la IA lea los mensajes nuevos de Discord, me diga el tono, me resuma y marque los que requieren atención, y me proponga hitos del recorrido de cada cliente, para enterarme de lo importante sin leer todo.

*Criterios de aceptación:*
* Probado con una cuenta real de Discord y el resultado quedó anotado: al día siguiente de escribir, los mensajes nuevos de alumnos tienen tono y resumen, y los del equipo no se clasifican.
* Dado un cliente con mensajes que muestran un avance, entonces aparece una propuesta de hito en su recorrido.
* Si la clave de Claude de la organización deja de funcionar, la clasificación sigue con la clave de Limitless o el founder ve el aviso rojo.

*Tareas técnicas (PENDIENTES.md):*
* [DISCORD-SIN-PROBAR] Canales, equipo, sugerencias y atribución sin probar (P1)
* [1A1-CLAVE-ANTHROPIC-ROTA] Una organización sin clave válida y sin clave global (P0)

*Para confirmar:*
* Martín: la prueba manual de Discord no incluye la propuesta de hitos; sumarla.

Funcionalidad: F-DIS-11 · Sin verificar · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-DIS-11]",H-DIS-11,Discord,P0,Alta,DISCORD-SIN-PROBAR 1A1-CLAVE-ANTHROPIC-ROTA,
[H-EMB-14] Registrar sin pérdidas los cobros de Whop y Commas,Story,Highest,historia,embudos-y-lanzamientos,p0,sev-critica,para-confirmar,,"*Historia:* Como founder, quiero conectar Whop y Commas y que cada cobro, reembolso y valor contratado quede registrado, para que la facturación de mis embudos sea la real.

*Criterios de aceptación:*
* Si falla el guardado de un aviso de cobro, Limitless le responde a Whop que falló para que lo vuelva a mandar; en Commas, que no reintenta, queda una alerta registrada.
* Un cobro que quedó con error o sin interpretar se puede volver a procesar (por reintento del proveedor o con una herramienta de reproceso) y termina registrado.
* Probado con cuentas reales de Whop y Commas y el resultado quedó anotado: compra, suscripción con y sin fin, y reembolso quedan procesados y con los mismos montos que el panel del proveedor.
* Los cobros anteriores a la conexión se pueden traer desde Whop y Commas.

*Tareas técnicas (PENDIENTES.md):*
* [EMBUDOS-WEBHOOK-PERDIDA] Webhooks de pagos y GHL que responden 200 sin haber guardado el evento (P0)
* [EMBUDOS-PAGOS-VERIFICAR] Verificar el mapeo de Whop y Commas contra eventos reales (P1)
* [EMBUDOS-CUENTAS-REALES] Conectar las cuentas y correr la verificación 🔴 (P1)
* [EMBUDOS-PAGOS-BACKFILL] Backfill de pagos por API (P3)

*Para confirmar:*
* Martín: traer los cobros anteriores ¿entra en esta historia o se separa? Hoy es la condición para que retención y LTV tengan historia (ver H-EMB-15).

Funcionalidad: F-EMB-14 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-EMB-14]",H-EMB-14,Embudos y Lanzamientos,P0,Crítica,EMBUDOS-WEBHOOK-PERDIDA EMBUDOS-PAGOS-VERIFICAR EMBUDOS-CUENTAS-REALES EMBUDOS-PAGOS-BACKFILL,
[H-EMB-16] Seguir las oportunidades de GoHighLevel etapa por etapa,Story,Highest,historia,embudos-y-lanzamientos,p0,sev-critica,para-confirmar,,"*Historia:* Como founder, quiero traer mis pipelines de GoHighLevel y que cada cambio de etapa de una oportunidad quede registrado, para ver en el embudo cuántas oportunidades se crean, avanzan y se ganan.

*Criterios de aceptación:*
* Probado con una sub-cuenta real de GoHighLevel y el resultado quedó anotado: al mover una oportunidad, el aviso llega, queda guardado y se toma el identificador correcto de la oportunidad (no el del contacto).
* Si falla el guardado de un aviso, GoHighLevel recibe un error y lo reintenta; un aviso que quedó con error se puede volver a procesar.
* Al conectar, las oportunidades que ya existían entran con su etapa actual sin contarse como ""creadas"" en el período.
* ""Ganadas"" cuenta sólo las oportunidades que pasaron a ganada en el período, no las que ya estaban ganadas y cambiaron de etapa.
* Un aviso repetido o viejo reenviado no se registra dos veces, y la clave de conexión no queda escrita en la dirección del aviso.

*Tareas técnicas (PENDIENTES.md):*
* [EMBUDOS-GHL-ENTREGA] Cerrar cómo llegan los webhooks de oportunidades de GHL (P1)
* [EMBUDOS-WEBHOOK-PERDIDA] Webhooks de pagos y GHL que responden 200 sin haber guardado el evento (P0)
* [EMBUDOS-GHL-BACKFILL] Poblar la última etapa conocida de las oportunidades preexistentes (P2)
* [EMBUDOS-GHL-WON] ghl_opportunities_won cuenta cualquier transición con status won (P2)
* [EMBUDOS-GHL-WEBHOOK-HARDENING] Replay y dedupe global del webhook de GHL (P2)

*Para confirmar:*
* Martín: son cinco tareas; conviene partirla (verificación y pérdida de avisos primero, conteos después).

Funcionalidad: F-EMB-16 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-EMB-16]",H-EMB-16,Embudos y Lanzamientos,P0,Crítica,EMBUDOS-GHL-ENTREGA EMBUDOS-WEBHOOK-PERDIDA EMBUDOS-GHL-BACKFILL EMBUDOS-GHL-WON EMBUDOS-GHL-WEBHOOK-HARDENING,
[H-IA-25] Cargar mi clave de Claude y enterarme si deja de andar,Story,Highest,historia,agente-de-negocio-e-ia,p0,sev-alta,para-confirmar,,"*Historia:* Como founder, quiero cargar la clave de Claude de mi empresa, que sólo yo pueda cambiarla y que el sistema me avise si deja de funcionar o se queda sin créditos, para que la IA de mi organización no se corte sin que me entere.

*Criterios de aceptación:*
* Dado un miembro del equipo que no es founder, cuando intenta cambiar o borrar la clave de Claude, entonces recibe un error y la clave no cambia.
* Dada la organización con la clave rechazada, cuando el founder entra a la plataforma, entonces ve la barra roja; se probó con esa organización y el resultado quedó anotado.
* Dada una clave sin créditos, el founder lo ve marcado en Ajustes (o la IA sigue con la clave de Limitless, según lo que se decida).

*Tareas técnicas (PENDIENTES.md):*
* [1A1-CLAVE-ANTHROPIC-ROTA] Una organización sin clave válida y sin clave global (P0)
* [PERMISOS-SERVER-ACTIONS/agente-ia] (parte IA) El agente lee todos los módulos sin mirar permisos (P1)
* [IA-CLAVE-SIN-CREDITOS] (nuevo) Una clave sin créditos no cae a la global (P2)

*Para confirmar:*
* Agustín: una organización cuya clave se quedó sin créditos, ¿sigue con la clave de Limitless o queda sin IA hasta que cargue créditos?

Funcionalidad: F-IA-25 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-IA-25]",H-IA-25,Agente de negocio e IA,P0,Alta,1A1-CLAVE-ANTHROPIC-ROTA PERMISOS-SERVER-ACTIONS/agente-ia IA-CLAVE-SIN-CREDITOS,
[H-IA-26] Seguir con la IA de Limitless si mi clave es rechazada,Story,Highest,historia,agente-de-negocio-e-ia,p0,sev-alta,para-confirmar,,"*Historia:* Como founder, quiero que si Anthropic rechaza la clave de mi empresa el sistema siga trabajando con la clave de Limitless, para que el análisis de llamadas, los reportes y el agente no se detengan.

*Criterios de aceptación:*
* Probado con una cuenta real de Anthropic y el resultado quedó anotado: con la clave de la organización rechazada y la de Limitless cargada, las llamadas de esa organización se procesan y la clave queda marcada como rechazada.
* Dada una clave rechazada, cuando mando un mensaje en el agente, entonces recibo respuesta igual.
* Quedó decidido y anotado hasta cuándo una organización con clave rechazada puede usar la clave de Limitless, y se avisó a las organizaciones que están en esa situación.

*Tareas técnicas (PENDIENTES.md):*
* [1A1-CLAVE-ANTHROPIC-ROTA] Una organización sin clave válida y sin clave global (P0)
* [AGENTE-SIN-FALLBACK-CLAVE] (nuevo) El agente SSE no cae a la clave global (P1)
* [IA-CLAVES-INVALIDAS] Organizaciones con clave vencida que gastan la global (P1)

*Para confirmar:*
* Martín: hoy no se sabe si la clave de Limitless está cargada en producción; confirmar con quien administra Vercel antes de estimar.

Funcionalidad: F-IA-26 · Sin verificar · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-IA-26]",H-IA-26,Agente de negocio e IA,P0,Alta,1A1-CLAVE-ANTHROPIC-ROTA AGENTE-SIN-FALLBACK-CLAVE IA-CLAVES-INVALIDAS,
"[H-MKT-01] Ver toda mi biblioteca de contenido, siempre al día",Story,Highest,historia,marketing,p0,sev-critica,para-confirmar,,"*Historia:* Como founder, quiero ver todas mis publicaciones de Instagram y YouTube en la biblioteca, con sus números reales y actualizadas solas, para saber qué contenido me funciona sin revisar cada red por separado.

*Criterios de aceptación:*
* Dada una cuenta con más de 50 publicaciones (en producción hay 150), cuando abro la biblioteca, entonces puedo llegar a todas, no sólo a las 50 primeras.
* Dado un usuario de un holding que cambió al negocio activo, cuando abre Contenido, entonces ve las publicaciones de ese negocio y la actualización corre contra ese negocio (hoy ve la biblioteca vacía o un aviso de ""Zernio no está conectado"").
* Dada una empresa que no conectó Zernio, cuando entra a la biblioteca, entonces ve el aviso de ""no conectado"" y nunca contenido de otra cuenta.
* Cuando Zernio devuelve una publicación sin números reconocibles, entonces la biblioteca conserva los números que ya tenía en vez de mostrarla en cero.

*Tareas técnicas (PENDIENTES.md):*
* [MKT-CONTENT-LIMITE-50] La biblioteca muestra sólo 50 piezas (P2)
* [MKT-HOLDING-ORG] Contenido, Drive y Trial Reels ignoran el negocio activo del holding (P1)
* [ZERNIO-KEY-GLOBAL] Una org sin Zernio usa la key global de Zernio (P0)
* [AUDITORIA §3 confiabilidad 11] La sync de contenido escribe ceros si el analytics no se reconoce (P2)

*Para confirmar:*
* Martín: la solución de las 150 piezas puede ser paginar o filtrar por tipo y fecha; que Agustín elija cuál prefiere ver en pantalla.

Funcionalidad: F-MKT-01 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-MKT-01]",H-MKT-01,Marketing,P0,Crítica,MKT-CONTENT-LIMITE-50 MKT-HOLDING-ORG ZERNIO-KEY-GLOBAL AUDITORIA §3 confiabilidad 11,
[H-MKT-13] Ver el gasto y los resultados de mis anuncios de Meta,Story,Highest,historia,marketing,p0,sev-critica,,,"*Historia:* Como founder, quiero ver mis anuncios de Meta con lo que gasté y lo que obtuve, en general y por publicación, para decidir dónde poner la plata.

*Criterios de aceptación:*
* Dada una empresa sin Zernio conectado (o con la conexión desactivada), cuando abre Anuncios o la solapa Anuncios de una publicación, entonces ve ""no conectado"" y nunca anuncios de otra cuenta.
* Dada una empresa con Zernio y anuncios activos, cuando abre Anuncios, entonces ve sus anuncios con gasto y resultados.
* Quedó anotado si la clave general de Zernio existe en producción.

*Tareas técnicas (PENDIENTES.md):*
* [ZERNIO-KEY-GLOBAL] Una org sin Zernio usa la key global de Zernio (P0)

Funcionalidad: F-MKT-13 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-MKT-13]",H-MKT-13,Marketing,P0,Crítica,ZERNIO-KEY-GLOBAL,
[H-MKT-14] Guardar el gasto diario de anuncios para Embudos,Story,Highest,historia,marketing,p0,sev-critica,para-confirmar,,"*Historia:* Como founder, quiero que todos los días se guarde lo que gasté en anuncios el día anterior, para ver en Embudos cómo evolucionó el gasto.

*Criterios de aceptación:*
* Dada una empresa con la conexión de Zernio desactivada o sin conectar, cuando corre el guardado diario, entonces no se guarda ningún gasto a su nombre.
* Dada una empresa con anuncios activos, cuando pasa un día, entonces queda guardado un registro por anuncio del día anterior, sin duplicados, y el gasto coincide con el panel de Meta.

*Tareas técnicas (PENDIENTES.md):*
* [ZERNIO-KEY-GLOBAL] Una org sin Zernio usa la key global de Zernio (P0)

*Para confirmar:*
* Martín: en producción no hay todavía ningún día guardado; hace falta probarlo con una cuenta con anuncios activos (y ver si el monto viene en centavos).

Funcionalidad: F-MKT-14 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-MKT-14]",H-MKT-14,Marketing,P0,Crítica,ZERNIO-KEY-GLOBAL,
[H-MKT-15] Responder y ocultar comentarios de todas mis cuentas,Story,Highest,historia,marketing,p0,sev-critica,para-confirmar,,"*Historia:* Como miembro del equipo, quiero ver los comentarios de todas las cuentas en un solo lugar y responderlos u ocultarlos, para atender a la audiencia sin entrar a cada red.

*Criterios de aceptación:*
* Dada una empresa sin Zernio conectado, cuando abre Comentarios, entonces ve ""no conectado"" y nunca comentarios de otra cuenta.
* Dado un comentario, cuando lo respondo o lo oculto desde Comentarios, entonces el cambio se ve en Instagram.
* En el detalle de una publicación, la solapa Comentarios muestra sus comentarios sólo para leer.

*Tareas técnicas (PENDIENTES.md):*
* [ZERNIO-KEY-GLOBAL] Una org sin Zernio usa la key global de Zernio (P0)

*Para confirmar:*
* Martín: no está probado que ocultar un comentario funcione en Zernio sin indicar la cuenta; hay que probarlo con una cuenta real.

Funcionalidad: F-MKT-15 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-MKT-15]",H-MKT-15,Marketing,P0,Crítica,ZERNIO-KEY-GLOBAL,
