Summary,Issue Type,Priority,Labels,Labels,Labels,Labels,Labels,Description,ID Limitless,Área,Prioridad Limitless,Tipo Limitless
"[PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas",Bug,Highest,plataforma,p0,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{getCurrentUserPermissions}} sólo se usa en {{app/(platform)/layout.tsx}} y en componentes de navegación. Ninguna server action consulta {{modules}}. Ninguna policy RLS mira {{role}} (todas {{organization_id = get_my_organization_id()}}). Confirmado sin guard: {{saveClaudeApiKeyAction}} ({{app/settings/actions.ts:438}}), {{saveGeneralOrganizationSettingsAction}} (nombre, web, moneda y zona horaria de la org), {{updateCloserCommissionAction}} ({{app/sales/closer-actions.ts:275}}), los {{disconnect*Action}}, todas las de {{app/discord/actions.ts}}. {{team_roles}} tiene policies de insert/update/delete para cualquier miembro ({{20260616400000_team_roles_permissions.sql}}): un member puede editar los permisos de su propio rol por PostgREST.

*Qué hay que hacer:* helper {{requireModuleAccess(moduleId, level)}} sobre {{requireOrganizationId()}} y aplicarlo primero en plata, equipo, BYOK e integraciones; policies de escritura por rol en {{team_roles}}, {{team_invitations}}, {{organizations}}, finanzas y tablas de integraciones.

*Criterio de aceptación:* Con un member cuyo rol tiene Finanzas, Integraciones y Ajustes en ""sin acceso"", invocar desde la consola saveClaudeApiKeyAction, un disconnect*Action, updateCloserCommissionAction y una acción de app/discord/actions.ts devuelve error de permiso y no cambia nada en la base; con su JWT, un PATCH a /rest/v1/team_roles sobre su propio rol es rechazado (y lo mismo para escrituras en team_invitations, organizations, finanzas y tablas de integraciones), mientras el founder sigue pudiendo hacerlo; hay un test unitario de requireModuleAccess con los niveles none/view/full

*Dónde:* {{apps/web/lib/auth/get-current-permissions.ts}}, {{apps/web/app/**/actions.ts}}, {{supabase/migrations/}}.

Fuente: PENDIENTES.md [PERMISOS-SERVER-ACTIONS] · Doc del área: docs/areas/plataforma.md",PERMISOS-SERVER-ACTIONS,Plataforma,P0,seguridad
[AUTH-CALLBACK-NEXT] Open redirect en /auth/callback (nuevo),Bug,Highest,plataforma,p0,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{apps/web/app/auth/callback/route.ts}} hace {{NextResponse.redirect(}}${origin}${next}{{)}} con {{next = searchParams.get(""next"")}} sin validar. {{next=.evil.com}} → {{https://app.com.evil.com}}; {{next=@evil.com}} → host {{evil.com}}. Es la ruta de vuelta de login OAuth y recuperación de contraseña.

*Qué hay que hacer:* aceptar sólo paths que empiecen con {{/}} y no con {{//}}; si no, {{/dashboard}}. Test unitario.

*Criterio de aceptación:* Un login con next=//evil.com, next=.evil.com o next=@evil.com termina en /dashboard dentro de la app; un next=/clients válido sigue funcionando; hay un test unitario con esos casos

*Dónde:* {{apps/web/app/auth/callback/route.ts}}.

Fuente: PENDIENTES.md [AUTH-CALLBACK-NEXT] · Doc del área: docs/areas/plataforma.md",AUTH-CALLBACK-NEXT,Plataforma,P0,seguridad
[LLAMADAS-EMBED-ROTO] /sales/llamadas no muestra ninguna llamada,Bug,Highest,ventas,p0,bug,,,"*Tipo:* bug

*Estado verificado:* ítem nuevo. {{getSalesCallsAction}} ({{app/fathom/actions.ts:337-349}}) hace {{.from(""fathom_calls"").select(""…, call_analyses(…)"")}}. {{call_analyses.fathom_call_id}} es {{TEXT}} sin FK ({{20260614100000_call_analysis_deep.sql:18}}) y en producción la tabla sólo tiene FKs a {{organizations}} y {{profiles}}. PostgREST no puede embeber sin relación y responde error; el {{catch}} devuelve {{[]}}, así que la pantalla siempre dice que no hay llamadas.

*Qué hay que hacer:* consultar {{call_analyses}} aparte por {{fathom_call_id in (…)}} y unir en JS (o agregar {{fathom_calls.id}} como FK en {{call_analyses}}). Loguear el error en vez de tragarlo.

*Criterio de aceptación:* En una org con fathom_calls de purpose = 'sales', Ventas → Llamadas lista la misma cantidad de llamadas que devuelve el count en la base, con su análisis cuando existe en call_analyses; si la consulta falla, el error queda en los logs del servidor en vez de mostrarse la lista vacía; hay un test que cubre la unión de llamadas con sus análisis

*Dónde:* {{apps/web/app/fathom/actions.ts}}, {{apps/web/components/sales/sales-calls-list.tsx}}.

Fuente: PENDIENTES.md [LLAMADAS-EMBED-ROTO] · Doc del área: docs/areas/ventas.md",LLAMADAS-EMBED-ROTO,Ventas,P0,bug
[CLOSING-LIST-1000] El calendario y la lista de Closing pierden los turnos más recientes,Bug,Highest,ventas,p0,bug,,,"*Tipo:* bug

*Estado verificado:* ítem nuevo (misma familia que el punto 5 de {{[AUDITORIA-ABIERTOS]}}). {{listClosingCallsAction}} ({{app/closing/actions.ts:70-74}}) hace {{select(""*"")…order(""scheduled_at"", { ascending: true })}} sin {{.range()}} ni {{fetchAllRows}}. PostgREST corta en 1.000 (lo documenta el propio {{lead-actions.ts}}). Producción tiene 1.455 {{closing_calls}}: si una org supera 1.000, quedan afuera los *más nuevos*, que son los que el closer necesita. Falta confirmar el conteo por organización.

*Qué hay que hacer:* paginar con {{fetchAllRows}} u ordenar descendente con un rango de fechas; agregar {{.eq(""organization_id"", organizationId)}} (hoy depende sólo de RLS, ver {{[CLOSING-HOLDING-MEZCLA]}}).

*Criterio de aceptación:* En una org con más de 1.000 turnos, el calendario y la lista de Closing muestran los turnos del mes actual en la misma cantidad que el count de la base para ese mes; la lectura filtra por la organización activa (un turno de otra org no aparece)

*Dónde:* {{apps/web/app/closing/actions.ts}}, {{apps/web/providers/platform-data-provider.tsx}}.

Fuente: PENDIENTES.md [CLOSING-LIST-1000] · Doc del área: docs/areas/ventas.md",CLOSING-LIST-1000,Ventas,P0,bug
[ZERNIO-KEY-GLOBAL] Una org sin Zernio usa la key global de Zernio,Bug,Highest,marketing,p0,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{getZernioApiKeyForOrganization}} ({{lib/zernio/integration.ts:113-121}}) devuelve {{process.env.ZERNIO_API_KEY}} cuando la org no tiene fila activa. Todo {{getZernioClientForOrganization}} (anuncios, comentarios, inbox, sync) lo hereda. {{captureAdMetricsForAllOrganizations}} ({{lib/marketing/ad-metrics-snapshot.ts:158}}) recorre {{zernio_integrations}} sin filtrar {{is_active}}, y una fila inactiva cae al fallback → escribiría en {{ad_metrics_daily}} anuncios de la cuenta global. {{.env.example}} la trae como {{sk_pending}}. No verifiqué si está seteada en Vercel.

*Qué hay que hacer:* confirmar en Vercel si {{ZERNIO_API_KEY}} existe en Production; quitar el fallback fuera de dev ({{NODE_ENV !== ""production""}}) o borrarlo; filtrar {{is_active}} en el cron.

*Criterio de aceptación:* Quedó anotado si ZERNIO_API_KEY existe en Production de Vercel; con una org sin Zernio conectado (o con la integración inactiva), /marketing/anuncios y /comentarios muestran 'no conectado' y no traen datos de otra cuenta, y el cron capture-ad-metrics no escribe filas en ad_metrics_daily para integraciones inactivas; hay un test que cubre que getZernioApiKeyForOrganization no devuelve la key global en producción

*Dónde:* {{apps/web/lib/zernio/integration.ts}}, {{apps/web/lib/marketing/ad-metrics-snapshot.ts}}

Fuente: PENDIENTES.md [ZERNIO-KEY-GLOBAL] · Doc del área: docs/areas/marketing.md",ZERNIO-KEY-GLOBAL,Marketing,P0,seguridad
[EMBUDOS-WEBHOOK-PERDIDA] Webhooks de pagos y GHL que responden 200 sin haber guardado el evento,Bug,Highest,embudos,p0,bug,,,"*Tipo:* bug

*Estado verificado:* {{app/api/webhooks/{whop,fanbasis,ghl}/route.ts}} devuelven {{200 { ok: true, ...result }}} siempre que la firma sea válida, incluso cuando {{ingestPaymentWebhook}} / {{ingestGHLOpportunityEvent}} devuelven {{stored: false, status: ""error""}} (falló el insert del crudo). Whop y GHL sólo reintentan ante no-2xx, así que el evento se pierde. Además, un evento que quedó en {{status = 'error'}} (falló el upsert después de guardar) no se reintenta nunca: el reintento del proveedor choca con el índice único y vuelve {{duplicate}} (AUDITORIA_BACKEND §3 Confiabilidad 5, sigue abierto). No existe ninguna herramienta de reproceso de {{unmapped}}/{{error}} aunque varios comentarios lo prometen.

*Qué hay que hacer:* responder 5xx cuando {{stored: false}} (salvo Commas, que no reintenta: ahí alertar); en {{duplicate}}, si la fila previa está en {{error}}, reprocesarla; construir un reproceso (acción de super-admin o script) para {{payment_webhook_events}} y {{ghl_webhook_events}} en {{unmapped}}/{{error}}.

*Criterio de aceptación:* Si falla el guardado del evento crudo, los webhooks de Whop y GHL responden 5xx (no 200) y el proveedor reintenta; en Commas, que no reintenta, queda una alerta registrada. Un reintento de un evento que quedó en 'error' se reprocesa en vez de volver 'duplicate'; hay tests que cubren los dos casos. Existe un reproceso (acción de super-admin o script) que toma los eventos en 'unmapped'/'error' de payment_webhook_events y ghl_webhook_events y los deja en 'processed' si ahora se pueden interpretar

*Dónde:* {{apps/web/app/api/webhooks/{whop,fanbasis,ghl}/route.ts}}, {{apps/web/lib/payments/ingest.ts}}, {{apps/web/lib/ghl/ingest-opportunity-event.ts}}.

Fuente: PENDIENTES.md [EMBUDOS-WEBHOOK-PERDIDA] · Doc del área: docs/areas/embudos.md",EMBUDOS-WEBHOOK-PERDIDA,Embudos y Lanzamientos,P0,bug
[1A1-CLAVE-ANTHROPIC-ROTA] Una organización sin clave válida y sin clave global,Task,Highest,agente-ia,p0,verificacion-manual,,,"*Tipo:* verificación manual

*Estado verificado:* el código ya marca la clave ({{marcarClaveDeOrgComoRechazada}} en {{lib/ai/credential-resolver.ts}}) y deja de usarla. Pero si no hay {{ANTHROPIC_API_KEY}} global, {{executeWithCredentialFallback}} no tiene a dónde caer: todo el trabajo IA de esa org (análisis de llamadas, reportes, agente) queda sin hacer. No se puede saber desde el código si la global ya se cargó en Vercel.

*Qué hay que hacer:* confirmar si {{ANTHROPIC_API_KEY}} está en Vercel producción; si no, cargarla o pedirle a la org {{997e94be-…}} una clave nueva. Confirmar que {{claude_api_key_status}} de esa org quedó en {{invalid}} y que la barra roja aparece.

*Criterio de aceptación:* Se ejecutó el paso 1 de verificacion-manual.md § Agente de negocio e IA (clave de IA rechazada) con la org 997e94be-… y el resultado quedó anotado: si ANTHROPIC_API_KEY está en Vercel producción, claude_api_key_status de esa org quedó en 'invalid' y el founder ve la barra roja; con la global cargada, el log dice 'Se sigue con la clave global' y las llamadas de esa org se procesan (o la org cargó una clave nueva válida); si falló, se abrió un ítem nuevo

*Dónde:* Vercel env; {{organizations.claude_api_key_status}}; {{lib/ai/anthropic.ts}}.

Fuente: PENDIENTES.md [1A1-CLAVE-ANTHROPIC-ROTA] · Doc del área: docs/areas/agente-ia.md",1A1-CLAVE-ANTHROPIC-ROTA,Agente de negocio e IA,P0,verificación manual
[EQUIPO-DESACTIVAR-NO-BLOQUEA] Un miembro desactivado sigue entrando y viendo todo [Operaciones y equipo],Bug,Highest,ops-fin-prod,p0,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{deactivateMemberAction}} y {{updateMemberRoleAction}} ({{app/team/actions.ts}}) sólo ponen {{profiles.is_active = false}}. Nada lo lee: no está en {{lib/supabase/middleware.ts}} (que sí lee {{must_change_password}}), ni en {{lib/auth/bootstrap.ts}}, ni en {{get_my_organization_id()}}, ni en ninguna policy. El único lector es {{app/fathom/member-actions.ts}} y {{lib/super-admin/queries.ts}}. {{docs/archivo/OPERATIONAL_NOTES.md}} afirma lo contrario (""Un miembro desactivado no puede iniciar sesión"").

*Qué hay que hacer:* al desactivar, banear el usuario en Auth ({{auth.admin.updateUserById(id, { ban_duration })}}) o revocar sesiones, y además cortar en el middleware si {{is_active = false}}. Idealmente que {{get_my_organization_id()}} devuelva null para inactivos.

*Criterio de aceptación:* Con la sesión de un miembro abierta, el founder lo desactiva en Equipo y al recargar cualquier página el miembro queda sin acceso; al intentar iniciar sesión de nuevo con sus credenciales es rechazado; hay un test que cubre que un perfil inactivo no pasa el middleware

*Dónde:* {{apps/web/app/team/actions.ts}}, {{apps/web/lib/supabase/middleware.ts}}, migración nueva.

Fuente: PENDIENTES.md [EQUIPO-DESACTIVAR-NO-BLOQUEA] · Doc del área: docs/areas/operaciones.md",EQUIPO-DESACTIVAR-NO-BLOQUEA,"Operaciones, Finanzas y Producto",P0,seguridad
[PERMISOS-SERVER-ACTIONS/infra] Los roles no se hacen cumplir en la base ni en las actions (incluye AUD-SEG-1),Bug,Highest,infra,p0,seguridad,permisos-transversal,,"*Tipo:* seguridad

*Parte de:* {{[PERMISOS-SERVER-ACTIONS]}} (ítem transversal en Plataforma). Acá, lo específico del área.

*Estado verificado:* ninguna policy RLS filtra por rol (todas por {{organization_id}}); no existe ningún helper {{requireRole}}/{{requirePermission}} en {{app/}} ni {{lib/}} (grep vacío). El único bloqueo es el render en {{app/(platform)/layout.tsx}} ({{<SinAcceso/>}}). Un viewer puede, vía PostgREST con su JWT, escribir {{team_roles.permissions}}, tablas de finanzas y lo que tenga policy {{FOR ALL}} por org ({{discord_integrations}}, {{unipile_integrations}}); vía actions, {{saveClaudeApiKeyAction}}, los {{disconnect*Action}}, el Drive del founder y {{updateCloserCommissionAction}}. {{organizations}} ya está protegido por grants por columna.

*Qué hay que hacer:* (1) helper {{requireRole(minRole | modulo, nivel)}} sobre {{requireOrganizationId()}} y aplicarlo primero en actions de plata, equipo, integraciones y BYOK; (2) policies de escritura por rol en {{team_roles}}, finanzas y {{*_integrations}} editables (función SQL {{current_user_role()}} o similar); (3) test que recorra los exports críticos.

*Criterio de aceptación:* Con un usuario viewer, invocar saveClaudeApiKeyAction, un disconnect*Action, updateCloserCommissionAction y una action de Finanzas devuelve error de permiso y no cambia nada en la base; con el JWT de ese viewer, un PATCH por PostgREST a team_roles, a una tabla de finanzas y a discord_integrations/unipile_integrations es rechazado por RLS mientras el founder/admin sigue pudiendo escribir; hay un test que recorre los exports críticos y falla si alguno no llama al chequeo de rol (paso 6 de V-INFRA-1 en verificacion-manual.md rechaza)

*Dónde:* {{apps/web/lib/auth/}}, {{app/settings/actions.ts}}, {{app/sales/closer-actions.ts}}, {{app/finance/actions.ts}}, {{app/team/actions.ts}}, {{app/integrations/**}}, {{app/marketing/content/drive-actions.ts}}, migración nueva.

Fuente: PENDIENTES.md [PERMISOS-SERVER-ACTIONS/infra] · Doc del área: docs/arquitectura/vision-general.md",PERMISOS-SERVER-ACTIONS/infra,"Infraestructura, seguridad y tests (transversal)",P0,seguridad
"[AUTH-RECUPERAR-PASSWORD] (nuevo) ""¿Olvidaste tu contraseña?"" no hace nada",Bug,High,plataforma,p1,bug,,,"*Tipo:* bug

*Estado verificado:* el link de {{components/auth/supabase-login-form.tsx}} (y {{login-screen.tsx}}) es {{href=""#""}} con {{preventDefault}}. {{resetPasswordForEmail}} no aparece en el código: existen {{/auth/recover}} y {{/auth/update-password}}, pero nada manda el mail de recuperación.

*Qué hay que hacer:* pantalla o modal que pida el mail y llame a {{supabase.auth.resetPasswordForEmail}} con {{redirectTo}} a {{/auth/callback?next=/auth/update-password}}; mensaje neutro (no revelar si el mail existe).

*Criterio de aceptación:* Desde /login, ""¿Olvidaste tu contraseña?"" pide un mail y muestra un mensaje neutro exista o no la cuenta; el mail llega y su link lleva a /auth/update-password, donde la nueva contraseña queda guardada y permite entrar; un mail inexistente no revela que no existe.

*Dónde:* {{apps/web/components/auth/supabase-login-form.tsx}}, {{apps/web/app/auth/}}.

Fuente: PENDIENTES.md [AUTH-RECUPERAR-PASSWORD] · Doc del área: docs/areas/plataforma.md",AUTH-RECUPERAR-PASSWORD,Plataforma,P1,bug
